Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
   44, 3.234E+02, 3.454E+01, 8.990E+00, 3.732E+01, 3.396E+01, 1.838E+01, 1.002E+02, 0.000E+00, 7.544E+02, 4.433E-01, 1.554E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   45, 3.284E+02, 3.418E+01, 9.129E+00, 3.712E+01, 3.452E+01, 1.844E+01, 9.463E+01, 0.000E+00, 7.174E+02, 4.291E-01, 1.591E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   46, 3.336E+02, 3.439E+01, 8.872E+00, 3.722E+01, 3.472E+01, 1.810E+01, 1.065E+02, 0.000E+00, 7.428E+02, 4.485E-01, 1.549E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   47, 3.400E+02, 3.602E+01, 9.214E+00, 4.094E+01, 3.539E+01, 1.962E+01, 1.082E+02, 0.000E+00, 7.601E+02, 4.381E-01, 1.515E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   48, 3.455E+02, 3.468E+01, 9.142E+00, 4.832E+01, 2.803E+01, 1.947E+01, 1.200E+02, 0.000E+00, 7.303E+02, 4.643E-01, 1.529E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   49, 3.332E+02, 3.479E+01, 9.170E+00, 4.882E+01, 2.810E+01, 1.934E+01, 1.230E+02, 0.000E+00, 7.312E+02, 4.547E-01, 1.537E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   50, 3.403E+02, 3.467E+01, 9.080E+00, 4.818E+01, 2.774E+01, 1.901E+01, 1.221E+02, 0.000E+00, 7.243E+02, 4.565E-01, 1.540E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   51, 3.391E+02, 3.458E+01, 9.026E+00, 4.826E+01, 2.792E+01, 1.913E+01, 1.180E+02, 0.000E+00, 7.335E+02, 4.518E-01, 1.535E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   52, 3.260E+02, 6.809E+01, 9.569E+00, 4.208E+01, 2.710E+01, 1.860E+01, 1.079E+02, 0.000E+00, 7.521E+02, 3.317E+01, 1.481E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
   53, 3.077E+02, 7.321E+01, 9.516E+00, 4.183E+01, 2.770E+01, 1.858E+01, 1.281E+02, 0.000E+00, 7.607E+02, 3.256E+01, 1.465E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 2.865E+03
