Rank,MAIN,DIVG,MASS,VELO,PRES,WALL,DUMP,PART,RADI,FIRE,COMM,EVAC,HVAC,GEOM,VEGE,Total T_USED (s)
   45, 3.198E+02, 3.291E+01, 9.067E+00, 3.726E+01, 3.425E+01, 1.851E+01, 8.272E+01, 0.000E+00, 6.380E+00, 4.370E-01, 1.307E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   46, 3.237E+02, 3.281E+01, 8.850E+00, 3.708E+01, 3.386E+01, 1.833E+01, 8.747E+01, 0.000E+00, 6.051E+00, 4.522E-01, 1.300E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   47, 3.318E+02, 3.350E+01, 9.185E+00, 4.073E+01, 3.487E+01, 2.020E+01, 8.495E+01, 0.000E+00, 6.003E+00, 4.436E-01, 1.287E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   48, 3.316E+02, 3.321E+01, 9.079E+00, 4.846E+01, 2.805E+01, 1.945E+01, 1.082E+02, 0.000E+00, 6.175E+00, 4.681E-01, 1.264E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   49, 3.236E+02, 3.321E+01, 8.984E+00, 4.832E+01, 2.769E+01, 1.920E+01, 1.059E+02, 0.000E+00, 6.193E+00, 4.757E-01, 1.275E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   50, 3.326E+02, 3.308E+01, 8.967E+00, 4.840E+01, 2.780E+01, 1.920E+01, 1.062E+02, 0.000E+00, 6.136E+00, 4.759E-01, 1.266E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   51, 3.315E+02, 3.315E+01, 8.928E+00, 4.813E+01, 2.773E+01, 1.888E+01, 1.006E+02, 0.000E+00, 6.178E+00, 4.665E-01, 1.273E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   52, 3.138E+02, 3.563E+01, 9.382E+00, 4.200E+01, 2.672E+01, 1.896E+01, 9.956E+01, 0.000E+00, 7.325E+00, 3.261E+01, 1.262E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   53, 2.982E+02, 3.547E+01, 9.396E+00, 4.177E+01, 2.762E+01, 1.896E+01, 1.163E+02, 0.000E+00, 7.380E+00, 3.290E+01, 1.260E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   54, 3.200E+02, 3.540E+01, 9.275E+00, 4.165E+01, 2.730E+01, 1.872E+01, 1.012E+02, 0.000E+00, 7.126E+00, 3.233E+01, 1.255E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   55, 3.220E+02, 3.546E+01, 9.210E+00, 4.173E+01, 2.738E+01, 1.879E+01, 9.504E+01, 0.000E+00, 7.210E+00, 3.243E+01, 1.259E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   56, 3.140E+02, 3.503E+01, 9.174E+00, 3.511E+01, 2.645E+01, 1.770E+01, 9.855E+01, 0.000E+00, 7.163E+00, 4.178E+01, 1.263E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   57, 3.070E+02, 3.518E+01, 9.219E+00, 3.477E+01, 2.703E+01, 1.746E+01, 1.071E+02, 0.000E+00, 6.960E+00, 4.100E+01, 1.263E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   58, 3.294E+02, 3.517E+01, 9.196E+00, 3.509E+01, 2.693E+01, 1.757E+01, 9.382E+01, 0.000E+00, 6.998E+00, 4.086E+01, 1.253E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   59, 3.334E+02, 3.514E+01, 9.080E+00, 3.467E+01, 2.686E+01, 1.728E+01, 8.523E+01, 0.000E+00, 6.998E+00, 4.172E+01, 1.258E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   60, 3.075E+02, 3.432E+01, 9.133E+00, 3.452E+01, 2.616E+01, 1.716E+01, 9.850E+01, 0.000E+00, 7.036E+00, 4.035E+01, 1.274E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   61, 3.005E+02, 3.409E+01, 9.075E+00, 3.404E+01, 2.672E+01, 1.723E+01, 1.079E+02, 0.000E+00, 6.921E+00, 4.057E+01, 1.271E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   62, 3.212E+02, 3.439E+01, 9.142E+00, 3.398E+01, 2.670E+01, 1.723E+01, 9.415E+01, 0.000E+00, 6.864E+00, 4.101E+01, 1.264E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
   63, 3.366E+02, 3.452E+01, 9.090E+00, 3.411E+01, 2.651E+01, 1.721E+01, 8.976E+01, 0.000E+00, 7.009E+00, 4.092E+01, 1.253E+03, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 1.848E+03
